ID;Scrape ID;Host ID;Host Since;Host Response Rate;Host Listings Count;Host Total Listings Count;Neighbourhood Group Cleansed;City;State;Zipcode;Market;Smart Location;Country Code;Latitude;Longitude;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Amenities;Square Feet;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Calculated host listings count;Reviews per Month
5994463;20170407214119;31124866;2015-04-13;100.0;2.0;2.0;Retiro;Madrid;Comunidad de Madrid;28014;Madrid;Madrid, Spain;ES;40.40773187928116;-3.6848186973255808;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers;;60.0;550.0;1250.0;;25.0;1;0;2;1125;9;32;52;117;12;95.0;9.0;10.0;10.0;10.0;10.0;9.0;moderate;2.0;0.5
14136180;20170407214119;85301317;2016-07-22;100.0;1.0;1.0;Centro;Madrid;Comunidad de Madrid;28012;Madrid;Madrid, Spain;ES;40.41580224221418;-3.705340377650709;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;50.0;;;;15.0;1;0;1;1125;15;39;64;208;20;91.0;9.0;9.0;10.0;10.0;10.0;10.0;flexible;1.0;2.43
15520134;20170407214119;84213235;2016-07-17;100.0;16.0;16.0;Carabanchel;Madrid;Comunidad de Madrid;28025;Madrid;Madrid, Spain;ES;40.3890481625822;-3.740373925565714;Apartment;Shared room;1;1.5;1.0;8.0;Real Bed;Internet,Wireless Internet,Wheelchair accessible,Pool,Kitchen,Free parking on premises,Doorman,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Smoke detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace;;10.0;;;;5.0;1;0;3;30;14;44;74;140;0;;;;;;;;moderate;16.0;
8809721;20170407214119;15258781;2014-05-08;100.0;114.0;114.0;Centro;Madrid;Comunidad de Madrid;28012;Madrid;Madrid, Spain;ES;40.412814092917046;-3.703052476384028;Apartment;Private room;2;3.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Smoking allowed,Heating,Washer;;30.0;;;;;1;0;10;1125;0;6;36;311;0;;;;;;;;strict;97.0;
1162707;20170407214119;1706029;2012-02-06;100.0;2.0;2.0;Chamberí;Madrid;28;28015;Madrid;Madrid, Spain;ES;40.43863119836153;-3.713716132786873;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo;;32.0;;;;;1;10;1;1125;7;34;62;337;97;92.0;9.0;9.0;9.0;10.0;9.0;9.0;strict;2.0;2.08
3425435;20170407214119;15604118;2014-05-16;100.0;1.0;1.0;Centro;Madrid;Comunidad de Madrid;28012;Madrid;Madrid, Spain;ES;40.41187988660166;-3.702480653530989;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Shampoo,translation missing: en.hosting_amenity_50;;35.0;;;;;1;0;2;60;21;51;81;356;43;97.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.0;1.4
10442879;20170407214119;2005372;2012-03-25;100.0;1.0;1.0;Centro;Madrid;Comunidad de Madrid;28005;Madrid;Madrid, Spain;ES;40.41508709483592;-3.71099435105229;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Safety card,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;80.0;;;300.0;18.0;2;21;1;3;15;45;75;75;24;98.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.0;1.61
8531782;20170407214119;15258781;2014-05-08;100.0;114.0;114.0;Centro;Madrid;Comunidad de Madrid;28013;Madrid;Madrid, Spain;ES;40.41826553823127;-3.705616883018374;Apartment;Private room;2;3.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Lock on bedroom door,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;25.0;;;;14.0;1;5;10;1125;0;0;18;74;0;;;;;;;;strict;97.0;
16518897;20170315084710;4200246;2012-11-20;97.0;68.0;68.0;;Illetes;Illes Balears;07181;Mallorca Island;Illetes, Spain;ES;39.53987109473469;2.592716238882455;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance;;69.0;;;150.0;45.0;3;10;4;36;21;51;81;339;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;63.0;0.61
5749070;20170407214119;596469;2011-05-17;100.0;28.0;28.0;Salamanca;Madrid;Comunidad de Madrid;28006;Madrid;Madrid, Spain;ES;40.42641029723731;-3.673277812578589;Apartment;Entire home/apt;4;2.0;2.0;3.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Free parking on premises,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;158.0;;3500.0;;160.0;2;20;7;180;16;26;52;52;3;100.0;10.0;9.0;9.0;10.0;10.0;9.0;strict;28.0;0.12
